Category,Name,Price,Colors,Image,Product Link
Men,Slim-Fit Ribbed Tank Top,$ 17.99,"Black, Apricot pink, Cream",https://image.hm.com/assets/hm/ab/33/ab333c12f788dbfa99701005e2598b143e0281a5.jpg,https://www2.hm.com/en_us/productpage.1291565002.html
Men,Slim-Fit Ribbed Tank Top,$ 17.99,"Cream, Apricot pink, Black",https://image.hm.com/assets/hm/44/f8/44f8943d9952fde42bdb1bcb248790821f754930.jpg,https://www2.hm.com/en_us/productpage.1291565001.html
Men,Regular-Fit Polo Shirt,$ 44.99,"Dark brown, Light beige, Apricot pink",https://image.hm.com/assets/hm/6b/d7/6bd777ec422931013aef5b2b31034199dc3bc713.jpg,https://www2.hm.com/en_us/productpage.1291559002.html
Men,Loose-Fit Boxy T-Shirt,$ 24.99,"Apricot pink, White, Black, Dark brown",https://image.hm.com/assets/hm/26/64/266494a20a03deb996c3f63eebd3090c930984bb.jpg,https://www2.hm.com/en_us/productpage.1291560004.html
Men,Loose-Fit Long-Sleeved Jersey Shirt,$ 34.99,"Dark brown, White",https://image.hm.com/assets/hm/f7/bc/f7bcb94ec188bdc6bfdd83812e35e025e4ae3ba2.jpg,https://www2.hm.com/en_us/productpage.1291564002.html
Men,Regular-Fit Polo Shirt,$ 44.99,"Apricot pink, Light beige, Dark brown",https://image.hm.com/assets/hm/52/a5/52a57eadbc3827b98155d6131e819b7f5ccdc8f0.jpg,https://www2.hm.com/en_us/productpage.1291559003.html
Men,Regular Fit Sweatpants,$ 19.99,"Black, Dark blue, Dark taupe, Light gray melange, Cream, Light gray melange, Black, Beige",https://image.hm.com/assets/hm/97/b6/97b69c0b846fa9ea5a42a21c5dc0b4d423108993.jpg,https://www2.hm.com/en_us/productpage.0970817001.html
Men,Regular Fit T-shirt,$ 7.99,"White, Black, Dark blue, Brown, Light beige, Dark gray, Gray melange, Light green, Pink, Light beige, Dark eggplant, Light gray",https://image.hm.com/assets/hm/bd/e4/bde4ef42f917ccb678c4ff1d218520ce2f10ff6d.jpg,https://www2.hm.com/en_us/productpage.0685816001.html
Men,Regular Fit Sweatshorts,$ 12.99,"Black, Gray melange, Light beige",https://image.hm.com/assets/hm/0f/88/0f88b5de0e3d346f47acf4a549f9783fccbe6695.jpg,https://www2.hm.com/en_us/productpage.1224295001.html
Men,Regular Fit Sweatshorts,$ 12.99,"Gray melange, Black, Light beige",https://image.hm.com/assets/hm/c6/73/c673176a4b777257fa85a21500de3d9a1e193ed8.jpg,https://www2.hm.com/en_us/productpage.1224295002.html
Men,Slim Fit Polo Shirt,$ 9.99,"Light beige, Sage green, Black, Navy blue",https://image.hm.com/assets/hm/60/e0/60e0cf246980dad108a8f3875bd71085e42e959f.jpg,https://www2.hm.com/en_us/productpage.0956343083.html
Men,Loose Fit Hoodie,$ 24.99,"Black, Dark taupe, Navy blue, Light gray melange, Light beige, Brown, Pink, White, Green, Light beige, Burgundy, Dark brown, Pistachio green, Forest green, Black",https://image.hm.com/assets/hm/75/0c/750cc44b179769a6c212f0bd132be814cfe76567.jpg,https://www2.hm.com/en_us/productpage.0970819001.html
